date_of_sale,address,location,total_area,rooms,plot_area,closing_price
Såld 9 oktober 2023,Skårby station 350,"Kareby,          Kungälvs kommun",143+25 m²,7,303,3005000
Såld 5 oktober 2023,Högalidsgatan 3,"Centrum,          Kungälvs kommun",103+103 m²,5,862,3800000
Såld 3 oktober 2023,Kungälvsvägen 22,"Centralt,          Kungälvs kommun",77+46 m²,5,548,4500000
Såld 2 oktober 2023,Ädelstensvägen 58,"Kode,          Kungälvs kommun",123+6 m²,6,379,4075000
Såld 27 september 2023,Kantorvägen 4,"Bohuslän,          Kungälvs kommun",166+6 m²,6,558,3625000
Såld 26 september 2023,Diamantvägen 34,"Kode,          Kungälvs kommun",123+5 m²,5,559,2900000
Såld 25 september 2023,Tjäderstigen 8,"Centralt,          Kungälvs kommun",126+4 m²,4,362,4760000
Såld 22 september 2023,Heavägen 31,"Lycke,          Kungälvs kommun",165+30 m²,6,553,5450000
Såld 17 september 2023,Beryllvägen 14,"Kode,          Kungälvs kommun",145+5 m²,5,434,3900000
Såld 17 september 2023,Kornhall 290,"Kornhall,          Kungälvs kommun",134+7 m²,5,706,6100000
Såld 15 september 2023,Grindbacken 18,"Grinden,          Kungälvs kommun",124+4 m²,4,932,7350000
Såld 15 september 2023,Korpvägen 273,"Ullstorp,          Kungälvs kommun",112+4 m²,4,480,5050000
Såld 13 september 2023,Kristiansborg 300,"Bohuslän,          Kungälvs kommun",215+115 m²,5,121,5350000
Såld 7 september 2023,Glöskär 255,"Kärna,          Kungälvs kommun",111+22 m²,4,62,3520000
Såld 6 september 2023,Nolby 150,"Kode,          Kungälvs kommun",129+4 m²,4,724,4100000
Såld 5 september 2023,Skårby station 452,"Kareby,          Kungälvs kommun",122+2 m²,2,963,4395000
Såld 31 augusti 2023,Snäckvägen 11,"Kode,          Kungälvs kommun",39+3 m²,3,593,2150000
Såld 31 augusti 2023,Klockarvägen 1,"Bohuslän,          Kungälvs kommun",137+5 m²,5,884,3000000
Såld 30 augusti 2023,Lilla Fjellsholmen 35,"Vedhall,          Kungälvs kommun",86+3 m²,3,427,10000000
Såld 29 augusti 2023,Västra Röd 165,"Kärna,          Kungälvs kommun",151+20 m²,5,263,5995000
Såld 24 augusti 2023,Snorregatan 3B,"Komarken,          Kungälvs kommun",120+3 m²,5,342,4225000
Såld 23 augusti 2023,Jägarvägen 13,"Romelanda,          Kungälvs kommun",162+14 m²,5,569,3900000
Såld 23 augusti 2023,Rosenstensvägen 2,"Kungälv,          Kungälvs kommun",140+5 m²,5,673,4800000
Såld 16 augusti 2023,Tröskvägen 260,"Ullstorp,          Kungälvs kommun",135+6 m²,6,410,5600000
Såld 16 augusti 2023,Stora Lycke 400,"Bohuslän,          Kungälvs kommun",111+5 m²,5,761,3650000
Såld 15 augusti 2023,Dösebacka 410,"Romelanda,          Kungälvs kommun",38+11 m²,3,960,2300000
Såld 9 augusti 2023,Mantalsgatan 9,"Tega,          Kungälvs kommun",175+35 m²,7,105,4725000
Såld 8 augusti 2023,Skälebräckeliden 9,"Centrum,          Kungälvs kommun",113+85 m²,4,608,6275000
Såld 4 augusti 2023,Norrmannebo 700,"Romelanda,          Kungälvs kommun",41+3 m²,3,182,1000000
Såld 28 juli 2023,Bokvägen 14,"Fontin, centrum,          Kungälvs kommun",137+6 m²,6,828,5100000
Såld 17 juli 2023,Duvesjön 228,"Romelanda,          Kungälvs kommun",121+37 m²,5,150,4195000
Såld 17 juli 2023,Klintegatan 22,"Centralt,          Kungälvs kommun",119+55 m²,5,999,6500000
Såld 13 juli 2023,Galärgatan 2,"Kungälv Centrum,          Kungälvs kommun",103+60 m²,5,749,4300000
Såld 13 juli 2023,Ulvebackegatan 3,"Munkegärde,          Kungälvs kommun",129+44 m²,5,927,4850000
Såld 11 juli 2023,Vråstigen 4,"Överön,          Kungälvs kommun",81+57 m²,4,619,3775000
